A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,toss_winner_won,match_id,season,team_A,team_B
0.2,0.6,-0.4,0.2,0.5,-0.3,0.3684,0.619,-0.2506,0.0,0.5,1,0,1,-0.5,0.5,140.0,156.86,-16.86,5.32,6.1,-0.78,0.6667,3,1,1,0.433,0.5,1,0,392207,2009,Kolkata Knight Riders,Kings XI Punjab
0.6,0.4,0.2,0.5,0.5,0.0,0.5263,0.3333,0.193,0.5,0.5,0,0,0,0.0,0.5,150.11,141.33,8.78,7.0,5.1,1.9,0.5,2,1,1,0.5,0.4841,1,0,392208,2009,Mumbai Indians,Royal Challengers Bangalore
0.6,0.6,0.0,0.5,0.4,0.1,0.5455,0.3,0.2455,0.5,0.5,0,0,0,0.0,0.5,159.86,157.15,2.71,6.18,5.45,0.73,0.3333,3,1,1,0.5,0.5,1,1,392209,2009,Chennai Super Kings,Deccan Chargers
0.8,0.6,0.2,0.5,0.6,-0.1,0.6364,0.7273,-0.0909,0.5,0.5,4,0,4,0.0,0.5,156.73,152.45,4.28,5.95,6.77,-0.82,0.6667,3,0,0,0.5,0.4841,1,0,392210,2009,Kings XI Punjab,Rajasthan Royals
0.0,0.6,-0.6,0.2,0.6,-0.4,0.35,0.55,-0.2,0.5,1.0,2,1,1,-0.5,0.5,140.65,147.65,-7.0,5.25,7.15,-1.9,1.0,1,1,1,0.433,0.4841,1,0,392211,2009,Kolkata Knight Riders,Delhi Capitals
0.4,0.4,0.0,0.4,0.4,0.0,0.2857,0.5,-0.2143,0.0,0.5,1,0,1,-0.5,0.5,154.43,150.05,4.38,5.33,6.7,-1.37,0.6667,3,1,1,0.5,0.5,1,1,392212,2009,Deccan Chargers,Mumbai Indians
0.6,0.6,0.0,0.6,0.5,0.1,0.7391,0.3636,0.3755,0.5,0.5,2,0,2,0.0,0.5,155.0,141.73,13.27,6.83,5.05,1.78,0.6667,3,0,0,0.4841,0.5,1,1,392213,2009,Rajasthan Royals,Royal Challengers Bangalore
0.6,0.6,0.0,0.6,0.5,0.1,0.5652,0.6087,-0.0435,1.0,0.5,1,0,1,0.5,0.5,160.65,155.7,4.95,6.35,5.87,0.48,1.0,3,1,1,0.5,0.5,1,1,392214,2009,Chennai Super Kings,Kings XI Punjab
0.4,0.6,-0.2,0.4,0.7,-0.3,0.4762,0.5714,-0.0952,1.0,0.5,1,0,1,0.5,0.5,148.9,148.1,0.8,6.67,6.95,-0.28,0.5,2,1,1,0.5,0.4841,1,0,392215,2009,Mumbai Indians,Delhi Capitals
0.4,0.4,0.0,0.4,0.5,-0.1,0.5833,0.3182,0.2651,0.5,0.5,0,0,0,0.0,0.5,156.46,154.0,2.46,5.75,5.45,0.3,1.0,2,0,0,0.5,0.4841,1,1,392216,2009,Kings XI Punjab,Deccan Chargers
0.8,0.8,0.0,0.7,0.6,0.1,0.75,0.5833,0.1667,0.5,0.5,0,0,0,0.0,0.5,153.0,161.67,-8.67,6.96,6.21,0.75,0.75,4,1,1,0.4841,0.4841,1,0,392217,2009,Rajasthan Royals,Chennai Super Kings
0.6,0.0,0.6,0.7,0.2,0.5,0.5909,0.3333,0.2576,0.0,0.5,1,0,1,-0.5,0.5,146.73,141.29,5.44,7.09,5.05,2.04,0.5,2,0,0,0.433,0.3307,1,1,392219,2009,Delhi Capitals,Kolkata Knight Riders
0.2,0.6,-0.4,0.4,0.4,0.0,0.4545,0.3478,0.1067,1.0,0.0,1,2,-1,1.0,0.5,147.41,140.13,7.28,6.5,4.96,1.54,0.3333,3,1,1,0.4841,0.4841,1,1,392218,2009,Mumbai Indians,Royal Challengers Bangalore
0.2,0.6,-0.4,0.5,0.6,-0.1,0.3043,0.72,-0.4157,0.0,0.0,1,1,0,0.0,0.5,154.61,152.48,2.13,5.52,6.8,-1.28,0.0,3,1,1,0.5,0.4841,1,1,392220,2009,Deccan Chargers,Rajasthan Royals
0.6,0.0,0.6,0.4,0.2,0.2,0.3333,0.3182,0.0151,0.0,0.5,1,0,1,-0.5,0.5,140.17,140.45,-0.28,4.83,4.95,-0.12,0.3333,3,0,0,0.4841,0.3307,1,1,392221,2009,Royal Challengers Bangalore,Kolkata Knight Riders
0.4,0.4,0.0,0.5,0.5,0.0,0.6,0.4783,0.1217,0.0,0.0,1,1,0,0.0,0.5,156.96,147.83,9.13,5.72,6.52,-0.8,1.0,3,1,1,0.4841,0.4841,1,0,392222,2009,Kings XI Punjab,Mumbai Indians
0.4,0.8,-0.4,0.6,0.7,-0.1,0.3333,0.6087,-0.2754,1.0,1.0,2,2,0,0.0,0.5,155.08,145.78,9.3,5.71,7.13,-1.42,0.0,3,0,0,0.5,0.433,1,0,392223,2009,Deccan Chargers,Delhi Capitals
1.0,0.6,0.4,0.6,0.4,0.2,0.6,0.36,0.24,0.0,0.6667,2,3,-1,-0.6667,0.5,160.84,141.6,19.24,6.24,4.8,1.44,0.6667,3,1,1,0.433,0.5,1,0,392224,2009,Chennai Super Kings,Royal Challengers Bangalore
0.6,0.4,0.2,0.5,0.5,0.0,0.6923,0.5,0.1923,1.0,0.0,1,2,-1,1.0,0.5,150.96,146.75,4.21,6.81,6.62,0.19,0.5,2,1,1,0.5,0.5,1,1,392225,2009,Rajasthan Royals,Mumbai Indians
