A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,team1_won,match_id,season,team_A,team_B
0.2,0.6,-0.4,0.3,0.5,-0.2,0.3889,0.5,-0.1111,0.5,0.5,0,0,0,0.0,0.5,140.06,150.22,-10.16,5.28,7.06,-1.78,0.0,3,1,1,0.433,0.4841,0,0,392203,2009,Kolkata Knight Riders,Mumbai Indians
0.2,0.6,-0.4,0.4,0.6,-0.2,0.3,0.65,-0.35,0.5,0.6667,2,3,-1,-0.1667,0.4286,141.15,157.85,-16.7,5.0,5.95,-0.95,0.0,3,1,0,0.4841,0.5,0,1,392204,2009,Royal Challengers Bangalore,Kings XI Punjab
0.8,0.4,0.4,0.4,0.6,-0.2,0.3158,0.7143,-0.3985,0.5,0.5,0,0,0,0.0,0.5,158.0,152.95,5.05,5.37,6.86,-1.49,0.0,2,1,1,0.5,0.5,1,0,392205,2009,Deccan Chargers,Rajasthan Royals
0.4,0.8,-0.4,0.4,0.7,-0.3,0.5238,0.5789,-0.0551,0.5,0.5,0,0,0,0.0,0.5,159.71,147.79,11.92,6.1,7.0,-0.9,0.3333,3,0,0,0.5,0.433,1,1,392206,2009,Chennai Super Kings,Delhi Capitals
0.6,0.2,0.4,0.5,0.2,0.3,0.619,0.3684,0.2506,0.5,0.0,0,1,-1,0.5,0.5,156.86,140.0,16.86,6.1,5.32,0.78,0.3333,3,1,1,0.5,0.433,1,1,392207,2009,Kings XI Punjab,Kolkata Knight Riders
0.4,0.6,-0.2,0.5,0.5,0.0,0.3333,0.5263,-0.193,0.5,0.5,0,0,0,0.0,0.5,141.33,150.11,-8.78,5.1,7.0,-1.9,0.5,2,1,1,0.4841,0.5,1,1,392208,2009,Royal Challengers Bangalore,Mumbai Indians
0.6,0.6,0.0,0.5,0.4,0.1,0.5455,0.3,0.2455,0.5,0.5,0,0,0,0.0,0.5,159.86,157.15,2.71,6.18,5.45,0.73,0.3333,3,1,1,0.5,0.5,1,1,392209,2009,Chennai Super Kings,Deccan Chargers
0.8,0.6,0.2,0.5,0.6,-0.1,0.6364,0.7273,-0.0909,0.5,0.5,4,0,4,0.0,0.5,156.73,152.45,4.28,5.95,6.77,-0.82,0.6667,3,0,0,0.5,0.4841,1,0,392210,2009,Kings XI Punjab,Rajasthan Royals
0.6,0.0,0.6,0.6,0.2,0.4,0.55,0.35,0.2,1.0,0.5,1,2,-1,0.5,0.5,147.65,140.65,7.0,7.15,5.25,1.9,0.0,1,1,1,0.4841,0.433,1,1,392211,2009,Delhi Capitals,Kolkata Knight Riders
0.4,0.4,0.0,0.4,0.4,0.0,0.2857,0.5,-0.2143,0.0,0.5,1,0,1,-0.5,0.5,154.43,150.05,4.38,5.33,6.7,-1.37,0.6667,3,1,1,0.5,0.5,1,1,392212,2009,Deccan Chargers,Mumbai Indians
